"Metric","Mean","SD"
"Runtime (seconds)",3.40463411569595,0.455858221743056
"Profile accuracy",0.94709,0.00725592060584897
"Q-matrix accuracy (0.05)",0.989206349206349,0.0137010012916825
"Q-matrix false positive rate (0.05)",0.0107936507936508,0.0137010012916825
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.996825396825397,0.00676827670970193
"Q-matrix false positive rate (0.01)",0.00317460317460317,0.00676827670970191
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.209154263713204,0.0225271489329157
"Pii RMSE",0.0153456583338232,0.00293212083076035
"Tau RMSE",0.0347006169585671,0.00221419050536765
