"Metric","Mean","SD"
"Runtime (seconds)",4.9920161151886,1.10900486037662
"Profile accuracy",0.90529,0.00572463026707621
"Q-matrix accuracy (0.05)",0.966083333333333,0.0154548961800832
"Q-matrix false positive rate (0.05)",0.0339166666666667,0.0154548961800832
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.985333333333333,0.0112441529885971
"Q-matrix false positive rate (0.01)",0.0146666666666667,0.0112441529885971
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.102448513211653,0.00886438887824143
"Pii RMSE",0.00756097632758595,0.000977308679458682
"Tau RMSE",0.0238323610414852,0.00107216555993477
