"Metric","Mean","SD"
"Runtime (seconds)",4.60472648143768,0.56735825301756
"Profile accuracy",0.976933333333333,0.0400180374595005
"Q-matrix accuracy (0.05)",0.98575,0.025740846716348
"Q-matrix false positive rate (0.05)",0.0135,0.0190169456006361
"Q-matrix false negative rate (0.05)",0.00075,0.0075
"Q-matrix accuracy (0.01)",0.994583333333333,0.0260140847199346
"Q-matrix false positive rate (0.01)",0.00458333333333334,0.0178994808344101
"Q-matrix false negative rate (0.01)",0.000833333333333333,0.00833333333333333
"Beta RMSE",0.344663709564239,0.0836785784251158
"Pii RMSE",0.0162351298431817,0.00163960618623776
"Tau RMSE",0.047197614979881,0.000907202239386845
