"Metric","Mean","SD"
"Runtime (seconds)",3.38392696380615,0.433370104073512
"Profile accuracy",0.99301,0.00232463747580981
"Q-matrix accuracy (0.05)",0.986507936507936,0.0134185341361841
"Q-matrix false positive rate (0.05)",0.0134920634920635,0.013418534136184
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.995873015873016,0.00801468630142997
"Q-matrix false positive rate (0.01)",0.00412698412698413,0.00801468630142994
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.312353902767768,0.0268643056368938
"Pii RMSE",0.0112915814503447,0.00106965420445278
"Tau RMSE",0.033500125728222,0.000787567862514649
