"Metric","Mean","SD"
"Runtime (seconds)",4.75923809528351,0.553771207336723
"Profile accuracy",0.74769,0.12385635986411
"Q-matrix accuracy (0.05)",0.968166666666667,0.0266798157817085
"Q-matrix false positive rate (0.05)",0.0278333333333333,0.0160325496633977
"Q-matrix false negative rate (0.05)",0.004,0.0228595477330354
"Q-matrix accuracy (0.01)",0.986666666666667,0.0240708363531161
"Q-matrix false positive rate (0.01)",0.00916666666666667,0.00921284663987611
"Q-matrix false negative rate (0.01)",0.00416666666666667,0.0228601614368822
"Beta RMSE",0.197783889138589,0.11922676293726
"Pii RMSE",0.0191126574884284,0.00754491932384216
"Tau RMSE",0.0375633106562056,0.00210257419817909
