"Metric","Mean","SD"
"Runtime (seconds)",4.43149322509766,0.51084574429873
"Profile accuracy",0.97445,0.0226205524675989
"Q-matrix accuracy (0.05)",0.988166666666667,0.0246518974803709
"Q-matrix false positive rate (0.05)",0.0110833333333333,0.0177688977190594
"Q-matrix false negative rate (0.05)",0.00075,0.00749999999999999
"Q-matrix accuracy (0.01)",0.99475,0.0267919772486724
"Q-matrix false positive rate (0.01)",0.00416666666666667,0.0170206516141201
"Q-matrix false negative rate (0.01)",0.00108333333333333,0.0100262702076143
"Beta RMSE",0.421276195662055,0.078894236068042
"Pii RMSE",0.0161254433391226,0.0010944849757442
"Tau RMSE",0.0569156778007297,0.000904525358517459
