"Metric","Mean","SD"
"Runtime (seconds)",4.88951038360596,0.548100031255884
"Profile accuracy",0.977856666666667,0.0496660058031191
"Q-matrix accuracy (0.05)",0.966916666666667,0.0325982715246883
"Q-matrix false positive rate (0.05)",0.0325,0.02892819780953
"Q-matrix false negative rate (0.05)",0.000583333333333333,0.00414641543296869
"Q-matrix accuracy (0.01)",0.984,0.0327319487867813
"Q-matrix false positive rate (0.01)",0.01525,0.0278296233338614
"Q-matrix false negative rate (0.01)",0.00075,0.00530957989000122
"Beta RMSE",0.159640234925403,0.185895966943745
"Pii RMSE",0.00738512604076031,0.00137391429392948
"Tau RMSE",0.021449083897521,0.00226643881720805
