"Metric","Mean","SD"
"Runtime (seconds)",4.56304471492767,0.530270367203147
"Profile accuracy",0.8787,0.0870490077017715
"Q-matrix accuracy (0.05)",0.982416666666667,0.0187238407117471
"Q-matrix false positive rate (0.05)",0.0161666666666667,0.0130730057460713
"Q-matrix false negative rate (0.05)",0.00141666666666667,0.0133509458590427
"Q-matrix accuracy (0.01)",0.994416666666667,0.0144121141680313
"Q-matrix false positive rate (0.01)",0.00408333333333333,0.00632266956220369
"Q-matrix false negative rate (0.01)",0.0015,0.0133680104616844
"Beta RMSE",0.246659670275284,0.0866198794840275
"Pii RMSE",0.0177313945633992,0.00513165230164539
"Tau RMSE",0.0496748440114797,0.00160600835841935
