"Metric","Mean","SD"
"Runtime (seconds)",3.38233367919922,0.431223208524368
"Profile accuracy",0.85637,0.0112901628764947
"Q-matrix accuracy (0.05)",0.982222222222222,0.0163126545958999
"Q-matrix false positive rate (0.05)",0.0176190476190476,0.0160951270947443
"Q-matrix false negative rate (0.05)",0.000158730158730159,0.00158730158730159
"Q-matrix accuracy (0.01)",0.994444444444444,0.00967098088642767
"Q-matrix false positive rate (0.01)",0.0053968253968254,0.00963010533264122
"Q-matrix false negative rate (0.01)",0.000158730158730159,0.00158730158730159
"Beta RMSE",0.199593558510989,0.0248807252293423
"Pii RMSE",0.0254509265989042,0.0051462292532578
"Tau RMSE",0.0388775942506752,0.00377592047535025
