"Metric","Mean","SD"
"Runtime (seconds)",4.60077080488205,0.54588829197544
"Profile accuracy",0.89958,0.00666996887912417
"Q-matrix accuracy (0.05)",0.96675,0.0173065303647494
"Q-matrix false positive rate (0.05)",0.03325,0.0173065303647494
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.987666666666667,0.0105595420436019
"Q-matrix false positive rate (0.01)",0.0123333333333333,0.0105595420436018
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.126390202060363,0.0109306320318355
"Pii RMSE",0.00755771014446009,0.000959643735623222
"Tau RMSE",0.0349397794823477,0.00163217996841215
