"Metric","Mean","SD"
"Runtime (seconds)",3.31403867721558,0.397176435867236
"Profile accuracy",0.99345,0.00172986249234564
"Q-matrix accuracy (0.05)",0.98031746031746,0.0179242233191634
"Q-matrix false positive rate (0.05)",0.0196825396825397,0.0179242233191634
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.992063492063492,0.0126622862732931
"Q-matrix false positive rate (0.01)",0.00793650793650794,0.0126622862732931
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.207827566439061,0.0217641826687083
"Pii RMSE",0.0120527505391718,0.00038060477790009
"Tau RMSE",0.0262722005914687,0.000761482647526928
