"Metric","Mean","SD"
"Runtime (seconds)",3.11217272281647,0.386440180051049
"Profile accuracy",0.93455,0.212939201499756
"Q-matrix accuracy (0.05)",0.978888888888889,0.0715239951916044
"Q-matrix false positive rate (0.05)",0.00984126984126984,0.0408458630160679
"Q-matrix false negative rate (0.05)",0.0112698412698413,0.0423457755061542
"Q-matrix accuracy (0.01)",0.980634920634921,0.0753879221429529
"Q-matrix false positive rate (0.01)",0.0073015873015873,0.0408234263964041
"Q-matrix false negative rate (0.01)",0.0120634920634921,0.0446751838136353
"Beta RMSE",0.660899010500688,0.448848037688882
"Pii RMSE",0.0179800870719204,0.0226143158422886
"Tau RMSE",0.0712589938036123,0.00451755770525037
