"Metric","Mean","SD"
"Runtime (seconds)",4.82995562076569,0.557088688574782
"Profile accuracy",0.98153,0.0256709775994038
"Q-matrix accuracy (0.05)",0.982666666666667,0.022556824365965
"Q-matrix false positive rate (0.05)",0.017,0.0197813525313254
"Q-matrix false negative rate (0.05)",0.000333333333333333,0.00333333333333333
"Q-matrix accuracy (0.01)",0.993416666666667,0.0214935782438361
"Q-matrix false positive rate (0.01)",0.00616666666666667,0.0175929470104296
"Q-matrix false negative rate (0.01)",0.000416666666666667,0.00416666666666667
"Beta RMSE",0.266612204195576,0.105908615175527
"Pii RMSE",0.01616604826233,0.00177005563953411
"Tau RMSE",0.0299901855104801,0.00121913189933042
