"Metric","Mean","SD"
"Runtime (seconds)",3.29378263235092,0.511708609153935
"Profile accuracy",0.835895,0.113700103830696
"Q-matrix accuracy (0.05)",0.965555555555556,0.0336947960891208
"Q-matrix false positive rate (0.05)",0.0306349206349206,0.0202112372752837
"Q-matrix false negative rate (0.05)",0.0038095238095238,0.0268010084069123
"Q-matrix accuracy (0.01)",0.983015873015873,0.0316058311877117
"Q-matrix false positive rate (0.01)",0.0131746031746032,0.014099222758222
"Q-matrix false negative rate (0.01)",0.0038095238095238,0.0268010084069123
"Beta RMSE",0.159167424021657,0.160624191911049
"Pii RMSE",0.0230719743981933,0.0126812345738869
"Tau RMSE",0.0367119699644877,0.00445145990506222
