"Metric","Mean","SD"
"Runtime (seconds)",3.21298379659653,0.440009318118899
"Profile accuracy",0.925466666666667,0.0851321281116158
"Q-matrix accuracy (0.05)",0.981587301587302,0.0568391981613539
"Q-matrix false positive rate (0.05)",0.0155555555555556,0.0409827087967982
"Q-matrix false negative rate (0.05)",0.00285714285714286,0.0163282483807396
"Q-matrix accuracy (0.01)",0.986190476190476,0.0598036817342136
"Q-matrix false positive rate (0.01)",0.0104761904761905,0.040935486520456
"Q-matrix false negative rate (0.01)",0.00333333333333333,0.0191827550900755
"Beta RMSE",0.299778272255808,0.188771190101362
"Pii RMSE",0.0179304628237003,0.00861165392399111
"Tau RMSE",0.0510187756575164,0.0063448262608786
