"Metric","Mean","SD"
"Runtime (seconds)",3.20738627195358,0.427618742327797
"Profile accuracy",0.9812,0.073596131504248
"Q-matrix accuracy (0.05)",0.985714285714286,0.0449240029308393
"Q-matrix false positive rate (0.05)",0.0126984126984127,0.0341408706566914
"Q-matrix false negative rate (0.05)",0.00158730158730159,0.011392707342306
"Q-matrix accuracy (0.01)",0.991587301587302,0.0469708976083941
"Q-matrix false positive rate (0.01)",0.00650793650793651,0.0336978171633509
"Q-matrix false negative rate (0.01)",0.0019047619047619,0.0134005042034562
"Beta RMSE",0.45008173061842,0.248889956075651
"Pii RMSE",0.0130685769730934,0.0100043596353605
"Tau RMSE",0.0486656668981823,0.00438307099520607
