"Metric","Mean","SD"
"Runtime (seconds)",3.43050949811935,0.439083432593535
"Profile accuracy",0.9419,0.0570434591250936
"Q-matrix accuracy (0.05)",0.974285714285714,0.0363630001140477
"Q-matrix false positive rate (0.05)",0.0250793650793651,0.0314383032985694
"Q-matrix false negative rate (0.05)",0.000634920634920635,0.00634920634920635
"Q-matrix accuracy (0.01)",0.989365079365079,0.032775903608118
"Q-matrix false positive rate (0.01)",0.00984126984126984,0.0254028371912987
"Q-matrix false negative rate (0.01)",0.000793650793650795,0.00793650793650793
"Beta RMSE",0.125108918360579,0.140098200454488
"Pii RMSE",0.013979098126244,0.00639975666441792
"Tau RMSE",0.0195546095699794,0.00475132207042765
