"Metric","Mean","SD"
"Runtime (seconds)",5.36515386104584,0.83801748805223
"Profile accuracy",0.909896,0.00460903635932895
"Q-matrix accuracy (0.05)",0.963083333333333,0.0155002172245015
"Q-matrix false positive rate (0.05)",0.0369166666666667,0.0155002172245015
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.98625,0.00993631516946932
"Q-matrix false positive rate (0.01)",0.01375,0.0099363151694693
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.0798514486454104,0.00609420901763595
"Pii RMSE",0.0075327993409266,0.000913113569528581
"Tau RMSE",0.0162897706278302,0.00078871103304771
