"Metric","Mean","SD"
"Runtime (seconds)",3.08080205202103,0.432560581147574
"Profile accuracy",0.911275,0.134127132797675
"Q-matrix accuracy (0.05)",0.986825396825397,0.0483380595177719
"Q-matrix false positive rate (0.05)",0.00809523809523809,0.0251728742227931
"Q-matrix false negative rate (0.05)",0.00507936507936508,0.0294918807216696
"Q-matrix accuracy (0.01)",0.990634920634921,0.0482347560548517
"Q-matrix false positive rate (0.01)",0.00365079365079365,0.0241786363888109
"Q-matrix false negative rate (0.01)",0.00571428571428571,0.030976729733053
"Beta RMSE",0.377081637063288,0.197357786644915
"Pii RMSE",0.0208301114936425,0.0139965884805577
"Tau RMSE",0.0728958661747003,0.00456547045529561
