"Metric","Mean","SD"
"Runtime (seconds)",4.55324081659317,0.586518117084353
"Profile accuracy",0.735483333333333,0.0797352152154526
"Q-matrix accuracy (0.05)",0.968333333333333,0.0273707553633116
"Q-matrix false positive rate (0.05)",0.02775,0.0211898783092528
"Q-matrix false negative rate (0.05)",0.00391666666666667,0.0145766579238506
"Q-matrix accuracy (0.01)",0.979583333333333,0.0258246428306152
"Q-matrix false positive rate (0.01)",0.01125,0.0164708615957377
"Q-matrix false negative rate (0.01)",0.00916666666666666,0.0161754202411422
"Beta RMSE",0.24001077263925,0.0677764284251318
"Pii RMSE",0.020061433140172,0.00593984354714815
"Tau RMSE",0.0541630356589263,0.00267652301503164
