"Metric","Mean","SD"
"Runtime (seconds)",3.18880146026611,0.428697063098988
"Profile accuracy",0.838566666666667,0.0473891997337254
"Q-matrix accuracy (0.05)",0.984444444444444,0.0395286417700568
"Q-matrix false positive rate (0.05)",0.0141269841269841,0.0293200865180185
"Q-matrix false negative rate (0.05)",0.00142857142857143,0.0113018737364462
"Q-matrix accuracy (0.01)",0.991904761904762,0.0384526417623008
"Q-matrix false positive rate (0.01)",0.00619047619047619,0.0276217012873212
"Q-matrix false negative rate (0.01)",0.0019047619047619,0.0115656363114077
"Beta RMSE",0.255299116763422,0.0744899344800173
"Pii RMSE",0.0287322832063204,0.00609593555691547
"Tau RMSE",0.056016124703308,0.00601252688061523
