"Metric","Mean","SD"
"Runtime (seconds)",4.45516554355621,0.635754313393598
"Profile accuracy",0.874575,0.0419777102349051
"Q-matrix accuracy (0.05)",0.981666666666667,0.0289403194098145
"Q-matrix false positive rate (0.05)",0.0163333333333333,0.022188105123662
"Q-matrix false negative rate (0.05)",0.002,0.00804379147972198
"Q-matrix accuracy (0.01)",0.987833333333333,0.0286337803691149
"Q-matrix false positive rate (0.01)",0.00608333333333333,0.0189087462467509
"Q-matrix false negative rate (0.01)",0.00608333333333333,0.011413498909243
"Beta RMSE",0.296008909151917,0.0544408370278404
"Pii RMSE",0.0178122176006382,0.0032226455146142
"Tau RMSE",0.0597199747738083,0.0016037037530571
