"Metric","Mean","SD"
"Runtime (seconds)",4.82516269922256,0.567882196870874
"Profile accuracy",0.89544,0.0587725147058426
"Q-matrix accuracy (0.05)",0.9775,0.0277651486442413
"Q-matrix false positive rate (0.05)",0.0219166666666667,0.0227418724150577
"Q-matrix false negative rate (0.05)",0.000583333333333333,0.00583333333333334
"Q-matrix accuracy (0.01)",0.991416666666667,0.0261775160334019
"Q-matrix false positive rate (0.01)",0.00791666666666667,0.0198328806218316
"Q-matrix false negative rate (0.01)",0.000666666666666666,0.00666666666666666
"Beta RMSE",0.192490762234622,0.07920886046587
"Pii RMSE",0.0173578069819251,0.00396181015028415
"Tau RMSE",0.0326185005107391,0.00194657751920151
