"Metric","Mean","SD"
"Runtime (seconds)",3.78933856725693,0.447610175107594
"Profile accuracy",0.864054,0.00499752302282205
"Q-matrix accuracy (0.05)",0.982380952380952,0.0171663269645917
"Q-matrix false positive rate (0.05)",0.0176190476190476,0.0171663269645917
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.994126984126984,0.00892654476134654
"Q-matrix false positive rate (0.01)",0.00587301587301587,0.00892654476134652
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.0893595121024868,0.0130697754921687
"Pii RMSE",0.01731901532356,0.00231643496224886
"Tau RMSE",0.0188927207165329,0.00182184525258364
