"Metric","Mean","SD"
"Runtime (seconds)",4.45479782342911,0.486559786420305
"Profile accuracy",0.70875,0.120403624647611
"Q-matrix accuracy (0.05)",0.95675,0.0345261128587595
"Q-matrix false positive rate (0.05)",0.023,0.0204851373677158
"Q-matrix false negative rate (0.05)",0.02025,0.0251051380667642
"Q-matrix accuracy (0.01)",0.950583333333333,0.0304579478642809
"Q-matrix false positive rate (0.01)",0.00841666666666667,0.0131625744823483
"Q-matrix false negative rate (0.01)",0.041,0.0259142590391626
"Beta RMSE",0.307091435927236,0.11158320842007
"Pii RMSE",0.0230940027037402,0.00834613549025617
"Tau RMSE",0.0640359382932272,0.00186066373220168
