"Metric","Mean","SD"
"Runtime (seconds)",4.68483162164688,0.86396711226363
"Profile accuracy",0.978445,0.0422075137525502
"Q-matrix accuracy (0.05)",0.966416666666667,0.0392739772138663
"Q-matrix false positive rate (0.05)",0.0333333333333333,0.0377725783706603
"Q-matrix false negative rate (0.05)",0.00025,0.00249999999999999
"Q-matrix accuracy (0.01)",0.984916666666667,0.0372055405103717
"Q-matrix false positive rate (0.01)",0.0148333333333333,0.0356040546752105
"Q-matrix false negative rate (0.01)",0.00025,0.00249999999999999
"Beta RMSE",0.181121115997821,0.124608557263186
"Pii RMSE",0.00737677639310409,0.00167464377403639
"Tau RMSE",0.0319550742037857,0.00185211587668295
