"Metric","Mean","SD"
"Runtime (seconds)",3.77398454904556,0.459050149125072
"Profile accuracy",0.984196,0.0711137940276716
"Q-matrix accuracy (0.05)",0.967777777777778,0.0438898376875989
"Q-matrix false positive rate (0.05)",0.0311111111111111,0.0371344832275651
"Q-matrix false negative rate (0.05)",0.00111111111111111,0.00789793415803561
"Q-matrix accuracy (0.01)",0.981587301587302,0.0460552371876166
"Q-matrix false positive rate (0.01)",0.0168253968253968,0.0355160801500199
"Q-matrix false negative rate (0.01)",0.00158730158730159,0.0111670868362135
"Beta RMSE",0.162077760414408,0.308883206029262
"Pii RMSE",0.0129625350904235,0.00783142859814613
"Tau RMSE",0.0143775964917664,0.00665239212046165
