"Metric","Mean","SD"
"Runtime (seconds)",4.86441738605499,0.547489321474106
"Profile accuracy",0.753956666666667,0.125396123455942
"Q-matrix accuracy (0.05)",0.947333333333333,0.027571964811137
"Q-matrix false positive rate (0.05)",0.0486666666666667,0.0201606900457323
"Q-matrix false negative rate (0.05)",0.004,0.0228595477330354
"Q-matrix accuracy (0.01)",0.973833333333333,0.025182276025286
"Q-matrix false positive rate (0.01)",0.0221666666666667,0.014174834246859
"Q-matrix false negative rate (0.01)",0.004,0.0228595477330354
"Beta RMSE",0.123145414558934,0.117757312801408
"Pii RMSE",0.0109759463353096,0.00689991829097541
"Tau RMSE",0.0290155123392219,0.00185749564851493
