"Metric","Mean","SD"
"Runtime (seconds)",3.19100501537323,0.519033278130768
"Profile accuracy",0.7815,0.184992492340155
"Q-matrix accuracy (0.05)",0.976349206349206,0.0504727215065592
"Q-matrix false positive rate (0.05)",0.01,0.0136591433536005
"Q-matrix false negative rate (0.05)",0.0136507936507937,0.0452918593959555
"Q-matrix accuracy (0.01)",0.975714285714286,0.0474560300884654
"Q-matrix false positive rate (0.01)",0.00222222222222222,0.00597758013772236
"Q-matrix false negative rate (0.01)",0.0220634920634921,0.0444910884672642
"Beta RMSE",0.363591207479604,0.225524640785075
"Pii RMSE",0.0353331751908014,0.018125827966663
"Tau RMSE",0.0779329444321128,0.00635340401439175
