"Metric","Mean","SD"
"Runtime (seconds)",3.75596497774124,0.438939539831318
"Profile accuracy",0.950534,0.00327587508549358
"Q-matrix accuracy (0.05)",0.977460317460317,0.01956176384902
"Q-matrix false positive rate (0.05)",0.0225396825396825,0.01956176384902
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.992698412698413,0.0106825431369755
"Q-matrix false positive rate (0.01)",0.0073015873015873,0.0106825431369755
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.0873935627617952,0.0137884920533395
"Pii RMSE",0.0129939286875867,0.00117026674130951
"Tau RMSE",0.0145414523995442,0.00103579417703194
