"Metric","Mean","SD"
"Runtime (seconds)",3.46051725387573,0.439633510987595
"Profile accuracy",0.858396666666667,0.00589502158276621
"Q-matrix accuracy (0.05)",0.972698412698413,0.0204397474281394
"Q-matrix false positive rate (0.05)",0.0273015873015873,0.0204397474281394
"Q-matrix false negative rate (0.05)",0,0
"Q-matrix accuracy (0.01)",0.987777777777778,0.0136963567268886
"Q-matrix false positive rate (0.01)",0.0122222222222222,0.0136963567268886
"Q-matrix false negative rate (0.01)",0,0
"Beta RMSE",0.108988659016771,0.0154604627475332
"Pii RMSE",0.0198991368744106,0.00262169351223845
"Tau RMSE",0.0262987565628017,0.0023038550206797
